5
0:(18,26),(29,21),(18,24),(14,7),(27,29),(20,27),(28,13),(18,0),(10,28),(29,10),(0,1),
1:(17,26),(29,22),(18,25),(14,6),(27,28),(19,27),(27,13),(19,0),(10,27),(29,9),(1,1),
2:(16,26),(28,22),(18,26),(13,6),(27,27),(18,27),(27,12),(20,0),(11,27),(29,8),(2,1),
3:(15,26),(27,22),(17,26),(12,6),(28,27),(17,27),(27,11),(20,1),(12,27),(28,8),(1,1),
4:(15,25),(26,22),(16,26),(12,5),(29,27),(16,27),(26,11),(20,2),(12,26),(28,7),(1,1),
5:(14,25),(25,22),(15,26),(12,4),(29,26),(15,27),(25,11),(20,3),(12,25),(28,6),(1,1),
6:(14,24),(24,22),(15,25),(11,4),(29,25),(14,27),(25,10),(20,4),(12,24),(28,5),(1,1),
7:(14,23),(23,22),(14,25),(11,3),(29,24),(13,27),(24,10),(20,5),(12,23),(28,4),(2,1),
8:(14,22),(22,22),(13,25),(11,2),(29,23),(12,27),(24,9),(20,6),(12,23),(28,3),(3,1),
9:(13,22),(21,22),(13,24),(11,1),(29,22),(11,27),(23,9),(20,7),(12,23),(27,3),(4,1),
10:(13,21),(20,22),(12,24),(11,0),(29,21),(10,27),(22,9),(20,8),(12,23),(26,3),(5,1),
11:(12,21),(20,23),(12,23),(11,0),(30,21),(9,27),(21,9),(20,9),(11,23),(25,3),(6,1),
12:(11,21),(19,23),(11,23),(11,0),(30,20),(9,28),(21,8),(20,10),(10,23),(24,3),(7,1),
13:(10,21),(19,24),(11,22),(11,0),(30,19),(8,28),(20,8),(21,10),(11,23),(23,3),(8,1),
14:(10,20),(19,25),(11,21),(11,0),(30,19),(8,29),(19,8),(21,11),(12,23),(22,3),(9,1),
15:(9,20),(18,25),(11,20),(11,0),(30,19),(8,30),(19,7),(21,12),(12,23),(21,3),(10,1),
16:(9,19),(17,25),(10,20),(11,0),(30,19),(8,31),(18,7),(21,13),(12,23),(21,2),(11,1),
17:(9,18),(17,26),(9,20),(11,0),(30,19),(7,31),(17,7),(21,14),(12,23),(20,2),(12,1),
